"player","pos","exp","num","hgt","team","conf","g","min","mpg","ppg","oreb","dreb","rpg","apg","tov","ast_to","spg","bpg","usg","ortg","efg","ts","year","id","fgm","ftm","fta","ft_pct","two_m","two_a","two_pct","three_m","three_a","three_pct","dunk_m","dunk_a","dunk_pct","rim_m","rim_a","rim_pct","mid_m","mid_a","mid_pct","porpag","dporpag","adj_oe","drtg","adj_de","stops","obpm","dbpm","bpm","oreb_rate","dreb_rate","ast","to","blk","stl","ftr","pfr","rec","pick","fga","fg_pct"
"Reed Bailey","Wing F","Jr",1,"6-11","Davidson","A10",32,84.5,33.2727,18.8485,1.4242,4.6667,6.0909,3.7879,2.69700005078013,1.40448644,0.7273,0.7576,32.1,107.4,49.2,55.41,2025,76739,210,174,226,0.77,193,403,0.479,17,41,0.415,14,17,0.8235,108,187,0.5775,85,216,0.3935,3.99985,2.84207,123.873,107.761,107.554,186.105,3.20079,0.0422226,3.24301,5.1,16.2,25.3,15.4,2.7,1.2,50.9,3,63.4,NA,444,0.472972972972973
"Cooper Noard","Wing G","Jr",31,"6-2","Cornell","Ivy",27,70.7,27.2069,13.2414,0.3103,3,3.3103,0.931,0.862100010249823,1.07992111,0.5172,0.1034,17.3,124.4,64.5,67.19,2025,76741,118,55,66,0.833,43,60,0.717,75,181,0.414,0,0,NA,37,51,0.7255,6,9,0.6667,2.78085,1.68971,118.116,112.751,114.561,118.106,3.57052,-2.27757,1.29295,1.3,12.1,4.7,10.5,0.3,1,27.4,1.9,NA,NA,241,0.489626556016597
"Zion Harmon","Scoring PG","Jr",1,"6-0","Seton Hall","BE",3,1.1,4.8333,0,0,0.3333,0.3333,0.3333,0.333333340000667,0.99989998,0,0,6.6,29.8,0,0,2025,76743,0,0,0,0,0,0,0,0,2,0,0,0,NA,0,0,NA,0,0,NA,-1.13661,0.15978,22.0095,114.428,122.252,1.71159,-18.0881,-0.86769,-18.9558,0,9.6,12.6,0,0,0,0,13.8,NA,NA,2,0
"Jeremy Foumena","PF/C","So",7,"6-11","Mississippi St.","SEC",9,1.9,2.8556,1.1111,0.2222,0.3333,0.5556,0.1111,0.1111,1,0,0.2222,21.7,103.2,38.9,45.87,2025,76747,3,3,4,0.75,2,3,0.667,1,6,0.167,1,1,1,2,3,0.6667,0,0,NA,0.166843,0.243523,106.617,107.842,107.203,4.29349,-5.60657,0.290344,-5.31622,8.3,13.2,6.6,10.3,9.7,0,44.4,9.3,NA,NA,9,0.333333333333333
"Jaylen Thompson","Stretch 4","So",24,"6-8","Stanford","ACC",20,8.3,5.825,1.4,0.75,0.3,1.05,0.05,0.1500000015,0.33333333,0.15,0.2,16.4,104.3,35.7,42.75,2025,76750,9,8,10,0.8,7,17,0.412,2,11,0.182,4,4,1,5,12,0.4167,2,5,0.4,0.258964,0.540615,102.591,108.757,105.033,17.2937,-0.0526926,-1.3755,-1.42819,14.9,6.3,1.5,9.5,3.7,1.5,35.7,3.1,76.6,NA,28,0.321428571428571
"Andrew Rohde","Pure PG","Jr",4,"6-6","Virginia","ACC",30,72.4,30.88,9.3,0.2667,2.6333,2.9,4.3,1.83329991469187,2.3454973,1.2,0.2333,20.4,105.9,52.4,54.73,2025,76753,101,34,44,0.773,58,130,0.446,43,104,0.413,0,0,NA,25,60,0.4167,33,70,0.4714,2.31788,2.93438,111.411,109.279,104.394,141.644,1.59562,0.996094,2.59171,1.1,10.6,29.7,18.9,0.9,2.5,18.8,2.2,38.4,NA,234,0.431623931623932
"Carter Bjerke","Stretch 4","So",32,"6-9","St. Thomas","Sum",31,54,21.1735,9.7941,0.9118,2.3824,3.2941,1.0588,0.647099983957568,1.63622319,0.4118,0.3235,20.2,119.9,60.3,61.28,2025,76755,109,19,25,0.76,41,73,0.562,68,164,0.415,0,0,NA,30,52,0.5769,11,21,0.5238,2.02013,1.46547,116.747,112.223,112.215,104.737,2.78763,-1.76853,1.01909,5.5,12.8,8.6,9.4,1.8,0.9,10.5,4.8,NA,NA,237,0.459915611814346
"David Idada","C","Jr",18,"7-0","Southeast Missouri St.","OVC",30,24.8,9.7697,2.0606,1.0909,1.6364,2.7273,0.1515,0.575800003793059,0.26311219,0.2121,0.2727,14.2,102,71.4,60.05,2025,76757,25,12,35,0.343,25,35,0.714,0,0,0,3,3,1,24,32,0.75,1,3,0.3333,0.0602842,0.928424,91.5292,99.8285,104.827,55.0772,-3.6104,-0.27946,-3.88986,14.1,19.9,2.9,25.9,2.9,1.2,100,4.9,NA,NA,35,0.714285714285714
"Benny Gealer","Scoring PG","Jr",5,"6-1","Stanford","ACC",32,46.6,20.3906,6.0312,0.3125,1.4062,1.7188,2.0312,0.562500019038931,3.6110221,0.8438,0.0312,15.9,115.4,47.4,51.58,2025,76758,58,32,36,0.889,13,47,0.277,45,123,0.366,0,0,NA,7,19,0.3684,6,28,0.2143,1.59326,1.94096,112.297,107.907,104.347,101.104,0.142377,1.19797,1.34035,1.8,8.4,18.1,10.4,0.2,2.5,21.2,3.7,NA,NA,170,0.341176470588235
"Ryan Agarwal","Wing F","So",11,"6-6","Stanford","ACC",35,67.7,27.0657,7.3429,1.1714,3.7143,4.8857,2.1143,0.942899995588532,2.24233748,0.6571,0.2,16.3,106.7,45.6,48.01,2025,76759,94,27,33,0.818,52,106,0.491,42,146,0.288,0,0,NA,47,81,0.5802,5,25,0.2,1.39752,2.6252,104.659,106.903,103.827,154.067,0.112117,0.523845,0.635962,5,16.7,14.4,12.8,0.8,1.4,13.1,3.3,73.4,NA,252,0.373015873015873
"Jalen Washington","C","Jr",13,"6-10","North Carolina","ACC",36,38.3,15.8722,5.7222,1.3056,2.8889,4.1944,0.5278,1.02779992376988,0.51352407,0.2778,0.8333,18.1,111.8,61.2,62.22,2025,76760,82,37,58,0.638,77,120,0.642,5,18,0.278,26,28,0.9286,63,87,0.7241,14,33,0.4242,1.3816,1.93128,115.038,102.625,96.4704,117.256,0.419006,2.3972,2.81621,9.9,19.9,5.9,20.3,5.6,1,42,5.7,90.8,NA,138,0.594202898550725
"Tyler Nickel","Wing G","Jr",5,"6-7","Vanderbilt","SEC",33,62.3,25.0242,10.4242,0.6667,1.697,2.3636,0.9394,0.424199990833234,2.2145215,0.5152,0.5152,16.3,127.8,57.4,60.09,2025,76761,110,43,51,0.843,29,62,0.468,81,200,0.405,2,2,1,17,33,0.5152,12,29,0.4138,3.26468,2.29559,127.518,111.545,105.243,114.503,5.81742,-0.0111815,5.80624,2.9,8.2,6.7,6,2.4,1.2,19.5,1.9,84.4,NA,262,0.419847328244275
