,player,pos_grouped,fr,VORP,VORP/Gm,VORP/Yr,power_conf,picktier,ppg_pct,rpg_pct,apg_pct,spg_pct,bpg_pct,tov_pct,usg_pct,ortg_pct,efg_pct,ts_pct,obpm_pct,dbpm_pct,bpm_pct,porpag_pct,dporpag_pct,adj_oe_pct,drtg_pct,adj_de_pct,HGT_pct,WGT_pct,BMI_pct,BF_pct,WNGSPN_pct,STNDRCH_pct,HANDL_pct,HANDW_pct,STNDVERT_pct,LPVERT_pct,LANE_pct,SHUTTLE_pct,SPRINT_pct,BENCH_pct,PAN_pct,PBHGT_pct,PDHGT_pct
0,vernon macklin,big,0,0.1,0.004347826087,0.1,1,5,28.71287128712871,16.08910891089109,29.7029702970297,38.11881188118812,17.07920792079208,23.26732673267327,27.22772277227723,71.53465346534654,81.93069306930693,68.8118811881188,50.99009900990099,12.376237623762377,26.732673267326735,42.07920792079208,12.871287128712872,52.97029702970298,89.10891089108911,88.61386138613861,47.286821705426355,50.3875968992248,49.224806201550386,49.2,49.224806201550386,47.674418604651166,42.248062015503876,51.55038759689923,55.44554455445545,47.524752475247524,50.0,50.0,50.25,49.66216216216216,51.93798449612403,50.495049504950494,48.51485148514851
1,vernon macklin,big,0,0.1,0.004347826087,0.1,1,5,38.613861386138616,13.366336633663368,32.42574257425743,9.900990099009901,11.386138613861387,44.05940594059406,58.91089108910891,28.217821782178216,75.4950495049505,44.05940594059406,31.683168316831683,9.405940594059405,13.366336633663368,30.693069306930692,13.861386138613863,43.06930693069307,79.20792079207921,78.71287128712872,47.286821705426355,50.3875968992248,49.224806201550386,49.2,49.224806201550386,47.674418604651166,42.248062015503876,51.55038759689923,55.44554455445545,47.524752475247524,50.0,50.0,50.25,49.66216216216216,51.93798449612403,50.495049504950494,48.51485148514851
2,ryan reid,big,0,0,0,0.0,1,5,10.396039603960396,2.9702970297029703,51.98019801980198,36.386138613861384,3.9603960396039604,40.5940594059406,16.584158415841586,3.4653465346534658,7.920792079207921,5.9405940594059405,7.920792079207921,40.099009900990104,7.920792079207921,4.455445544554455,19.306930693069308,2.4752475247524752,54.95049504950495,50.0,47.286821705426355,50.3875968992248,49.224806201550386,49.2,49.224806201550386,47.674418604651166,42.248062015503876,51.55038759689923,55.44554455445545,47.524752475247524,50.0,50.0,50.25,49.66216216216216,51.93798449612403,50.495049504950494,48.51485148514851
3,kyle singler,wing,0,-0.9,-0.002528089888,-0.15,1,4,81.09965635738831,84.5360824742268,65.97938144329896,46.735395189003434,82.81786941580756,61.16838487972509,65.80756013745705,71.47766323024055,19.93127147766323,31.27147766323024,87.62886597938144,75.60137457044674,89.69072164948454,94.15807560137456,97.9381443298969,87.2852233676976,10.652920962199312,7.216494845360824,50.30120481927711,50.60606060606061,51.21212121212121,51.37931034482759,50.903614457831324,51.50602409638554,59.93975903614458,53.6144578313253,48.134328358208954,47.03703703703704,50.18939393939394,51.30208333333333,50.0,50.0,48.493975903614455,48.134328358208954,48.148148148148145
4,kyle singler,wing,0,-0.9,-0.002528089888,-0.15,1,4,73.8831615120275,81.09965635738831,31.27147766323024,36.42611683848797,31.615120274914087,54.63917525773196,59.965635738831615,52.57731958762887,18.72852233676976,24.054982817869416,47.07903780068728,23.367697594501717,31.958762886597935,75.94501718213058,92.78350515463917,62.19931271477663,21.305841924398624,18.556701030927837,94.27710843373494,84.24242424242424,66.06060606060606,93.79310344827586,54.21686746987952,89.7590361445783,17.46987951807229,20.481927710843372,0.7462686567164178,0.7407407407407408,67.8030303030303,51.30208333333333,46.26865671641791,58.55263157894737,15.060240963855422,5.970149253731343,11.481481481481481
5,nolan smith,g,0,-0.8,-0.009523809524,-0.4,1,3,65.08875739644971,17.159763313609467,28.402366863905325,29.585798816568047,49.70414201183432,24.2603550295858,40.23668639053255,60.946745562130175,27.218934911242602,20.710059171597635,60.35502958579882,50.887573964497044,59.76331360946746,83.4319526627219,85.20710059171599,69.23076923076923,31.360946745562128,26.035502958579883,53.07692307692308,50.76923076923077,51.041666666666664,50.0,52.083333333333336,51.53846153846153,61.458333333333336,48.4375,52.4390243902439,49.390243902439025,51.09995217599234,51.85185185185185,51.21951219512195,52.083333333333336,50.0,52.4390243902439,51.21951219512195
6,nolan smith,g,0,-0.8,-0.009523809524,-0.4,1,3,92.3076923076923,74.85207100591717,81.06508875739645,31.360946745562128,13.017751479289942,89.94082840236686,91.71597633136095,55.02958579881657,38.75739644970414,44.97041420118343,87.57396449704143,38.46153846153847,73.37278106508876,89.3491124260355,79.28994082840237,87.57396449704143,24.85207100591716,24.85207100591716,43.07692307692308,43.07692307692308,46.15384615384615,50.0,26.923076923076923,51.53846153846153,65.625,63.28125,29.411764705882355,21.568627450980394,60.78431372549019,51.85185185185185,37.0,68.96551724137932,67.96875,42.15686274509804,23.52941176470588
7,etwaun moore,g,0,0.2,0.0003344481605,0.02,1,5,54.73372781065089,52.95857988165681,14.201183431952662,53.84615384615385,57.98816568047337,37.278106508875744,79.58579881656804,12.1301775147929,30.76923076923077,17.45562130177515,44.37869822485207,68.63905325443787,61.53846153846154,27.218934911242602,78.10650887573965,30.76923076923077,13.017751479289942,8.284023668639055,53.07692307692308,50.76923076923077,51.041666666666664,50.0,52.083333333333336,51.53846153846153,61.458333333333336,48.4375,52.4390243902439,49.390243902439025,51.09995217599234,51.85185185185185,51.21951219512195,52.083333333333336,50.0,52.4390243902439,51.21951219512195
8,etwaun moore,g,0,0.2,0.0003344481605,0.02,1,5,71.59763313609467,88.75739644970415,31.952662721893493,30.17751479289941,86.98224852071006,23.668639053254438,68.04733727810651,45.857988165680474,45.26627218934911,28.994082840236686,80.4733727810651,54.437869822485204,78.69822485207101,65.08875739644971,87.57396449704143,64.49704142011834,20.710059171597635,14.201183431952662,43.75,41.66666666666667,43.75,78.26086956521739,82.29166666666666,64.58333333333334,95.83333333333334,92.70833333333334,68.29268292682927,21.951219512195124,65.85365853658537,51.85185185185185,85.36585365853658,52.083333333333336,96.875,75.60975609756098,23.170731707317074
9,jajuan johnson,big,0,-0.1,-0.002777777778,-0.1,1,3,75.24752475247524,32.67326732673268,27.722772277227726,75.4950495049505,77.72277227722772,51.48514851485149,69.55445544554455,30.94059405940594,18.316831683168317,29.7029702970297,47.524752475247524,64.35643564356435,52.475247524752476,66.83168316831683,85.14851485148515,48.51485148514851,24.257425742574256,16.831683168316832,47.286821705426355,50.3875968992248,49.224806201550386,49.2,49.224806201550386,47.674418604651166,42.248062015503876,51.55038759689923,55.44554455445545,47.524752475247524,50.0,50.0,50.25,49.66216216216216,51.93798449612403,50.495049504950494,48.51485148514851
